name,pictures,,Informação,Conteúdo,Internet,"Outros canais",Participação,"Audiências públicas",Ouvidoria,"Nota Final"
Brasília,http://farm5.staticflickr.com/4044/4443636749_57652bca8c.jpg,,12,5,36,0,33,0,66,14
Cuiabá,http://farm6.staticflickr.com/5235/6967289820_fc4e171513_n.jpg,,7,5,13,0,33,0,66,10
Curitiba,http://farm8.staticflickr.com/7268/6894358566_2f76fb59f6_n.jpg,,16,8,47,4,0,0,0,15
Fortaleza,http://farm4.staticflickr.com/3453/3981857156_ac71531c39_n.jpg,,12,5,40,0,23,3,44,13
Manaus,http://farm7.staticflickr.com/6055/6226281172_e11b4005b3_n.jpg,,7,6,13,0,61,100,22,13
Natal,http://farm2.staticflickr.com/1203/528027020_ab68e48089_n.jpg,,14,5,28,50,23,3,44,15
Porto_Alegre,http://farm5.staticflickr.com/4032/4335074086_594193cf3d.jpg,,54,45,57,79,0,0,0,48
Recife,http://farm4.staticflickr.com/3167/2962922734_a7baebc67c_n.jpg,,15,10,33,0,1,3,0,14
Rio_de_Janeiro,http://farm6.staticflickr.com/5300/5410633087_836d1e4c0b_n.jpg,,13,12,20,4,27,0,55,14
Salvador,http://farm3.staticflickr.com/2744/4046858392_126f9ddf39.jpg,,12,5,37,8,27,0,55,14
São_Paulo,http://farm8.staticflickr.com/7075/6897292884_9346347512_n.jpg,,16,5,62,0,38,0,77,18
Belo_Horizonte,http://farm3.staticflickr.com/2488/3993398319_36a7d575df_n.jpg,,49,46,66,16,42,6,77,48
