name,pictures,"Ano de Fundacao","Receita Prevista (em bilhoes)","Receita Realizada (em bilhoes)",Servidores,"Servidores em Cargos de Confianca","Quantidade de Ministros (2002-2012)"
MAPA,http://www.revistamercado.com.br/imagens/conteudo/39/agricultura_1.jpg,1860,2968,2718,25731,3018,6
MCidades,http://info.opersan.com.br/Portals/138299/images/Sao-Paulo-1.jpg,2003,893,1162,349,883,4
MCTI,http://www.editorapositivo.com.br/lib/images/artigos-e-noticias/artigos-tecnologia_naoseinadatecnologia.jpg,1985,6775,4784,9477,1238,7
MC,http://s.glbimg.com/og/rg/f/original/2011/03/01/antena1_300x225.jpg,1967,2653,7282,2403,958,7
MinC,http://3.bp.blogspot.com/-y44-UAt_yK8/UE-jsuk-leI/AAAAAAAAAWQ/dvOvb2U9y8s/s1600/3.jpg,1985,311,284,3409,1391,5
MD,http://www.soudemontealegre.com.br/wp-content/uploads/2012/08/exercito.jpg,1999,7372,7542,373254,4271,7
MDA,http://www.geomundo.com.br/images/images-geografia/agricultura-familiar2.jpg,1999,1453,1187,5976,1073,7
MDIC,http://www.acieg.com.br/novo/wp-content/uploads/2012/08/27789766bbcc882b528678960591df93fbb.jpg,1860,2274,2605,3149,901,4
MDS,http://4.bp.blogspot.com/-CPsj6yS2wKQ/Tg9y-nPHsHI/AAAAAAAAAWQ/aMjTXBC1psA/s1600/fome.jpg,2003,142,162,562,606,3
MEC,http://www.maesaobra.com.br/wp-content/uploads/2012/09/escola.jpg,1890,54081,15653,237334,33082,5
ME,http://4.bp.blogspot.com/_KYflagr2MuI/TGLe5K5XwbI/AAAAAAAACqk/WvWV6O6lUgU/s1600/maracana.jpg,1992,255,83,285,276,7
MF,http://blogs.estadao.com.br/descomplicador/wp-content/blogs.dir/32/files/2010/01/Moedas._Marcos_Mendes.AE.JPG,1761,1561.66,1387779,59430,8170,4
MI,http://www.flickr.com/photos/integracao_nacional/6987594855/,1999,8965,325,4614,1282,8
MJ,http://www.radiojustica.jus.br/arquivo/radioNoticia/imagem/STF.3.jpg,1643,1097,1219,29888,4238,7
MMA,http://4.bp.blogspot.com/_P3BvaDvVAyk/SihZeKN5jNI/AAAAAAAABoA/i6IIOVX1Deg/s400/piscina_natural.jpg,1992,1963,633,10553,1191,5
MME,http://www.brasileconomico.ig.com.br/public/uploads/articles/foto_pagina/energia_bb_02.jpg,1960,24681,5061,4401,1489,10
MPA,http://portalmaritimo.files.wordpress.com/2011/01/pesca-industrial.jpg?w=500,2009,1,12,445,392,5
MPOG,http://www.transpi.com.br/orcamento.jpg,1961,131,49,16730,4214,5
MPS,http://cdn.mundodastribos.com/melhor-plano-de-previdencia-privadajpg.jpg,1960,240864,245942,39000,5617,10
MRE,http://leonardovieiradeoliveira.files.wordpress.com/2011/05/palaciodoitamaraty.jpg,1736,172,165,3708,782,4
MS,http://www.rdnews.com.br/uploads/Image/politicos/hospital_roo2.jpg,1930,3533,4093,97961,5197,6
MTE,http://copa.imguol.com/album/2012/03/17/operarios-observam-jogo-dos-companheiros-no-mane-garrincha-em-brasilia-em-meio-as-obras-para-a-copa-2014-1332029523755_956x500.jpg,1930,46.14,15.07,8544,2238,10
MT,"http://www.google.com.br/imgres?um=1&hl=pt-BR&biw=1366&bih=630&tbm=isch&tbnid=PFUTuSHFOZM2uM:&imgrefurl=http://educacaofiscalsm.blogspot.com/2010/08/transporte-rodoviario-no-brasil.html&docid=C-VgyxK-eFUAxM&imgurl=http://4.bp.blogspot.com/_SZ7AMy5KXs0/TGFLiwPNduI/AAAAAAAABR0/PwqJG9j8Ks4/s1600/Rodovia_Bandeirantes_SAO_2008_06.jpg&w=667&h=445&ei=Q8-bUJ6WCOfW0gGV44GoBw&zoom=1&iact=hc&vpx=998&vpy=158&dur=882&hovh=183&hovw=275&tx=131&ty=101&sig=109292581214250591004&page=1&tbnh=140&tbnw=260&start=0&ndsp=15&ved=1t:429,r:4,s:0,i:78",1891,2668,3452,6790,2033,8
MTur,"http://revistaepoca.globo.com/Revista/Epoca/foto/0,,31250189,00.jpg",2003,35,135,547,253,2
